TradeRepublic_Name,L&S_Name,Region,WKN,ISIN,L&S_URL_ID
Euro Government Bond Capped 1.5-10.5yr,I.MA.IB.EO L.S.C.1.5-10.5,Europa,A0H078,DE000A0H0785,47705
STOXX Europe 600 Financial Services,ISHRS STX600 FINANCIAL SERVICES,Europa,A0H08G,DE000A0H08G5,44492
STOXX Europe 600 Insurance,ISHRS STX600 INSURANCE,Europa,A0H08K,DE000A0H08K7,48035
STOXX Europe 600 Oil & Gas,ISHRS STX600 OIL & GAS,Europa,A0H08M,DE000A0H08M3,44015
STOXX Europe 600 Personal & Household Goods,ISHRS STX600 PERSONAL & HOUSEHOLD GOODS,Europa,A0H08N,DE000A0H08N1,57596
STOXX Europe 600 Retail,ISHRS STX600 RETAIL,Europa,A0H08P,DE000A0H08P6,54191
STOXX Europe 600 Travel & Leisure,ISHRS STX600 TRAVEL & LEISURE,Europa,A0H08S,DE000A0H08S0,52235
STOXX Europe 600 Health Care,ISHRS STX600 HEALTH CARE,Europa,A0Q4R3,DE000A0Q4R36,47249
STOXX Europe 50,IS.II-ISHARES STOXX EU.50,Europa,935926,IE0008470928,55868
Core EURO STOXX 50,IS.II-ISHS EURO STOXX 50,Europa,935927,IE0008471009,47642
EURO STOXX Mid,I-SHAR EURO STOXX MID,Europa,A0DK6Y,IE00B02KXL92,251463
EUR Inflation Linked Govt Bond,ISHARES INFL. GOV. BONDS,Europa,A0HGV1,IE00B0M62X26,49745
EUR Govt Bond 1-3yr,I-SHAR EURO GOVERNMENT BOND 1-3,Europa,A0J205,IE00B14X4Q57,251493
EUR Govt Bond 7-10yr,ISHARES EURO GOVERNMENT BOND 7-1,Europa,A0LGQA,IE00B1FZS806,257217
EUR Convered Bond,ISHARES EURO COVERED BOND,Europa,A0Q41Y,IE00B3B8Q275,262342
EUR Corp Bond ex-Financials,ISHARES EURO CORP EX-FINANCIALS,Europa,A0RPWN,IE00B4L5ZG21,262327
Core EUR Govt Bond,SHARES CORE EURO GOVERNMENT BOND,Europa,A0RL83,IE00B4WXJJ64,262309
Edge MSCI Europe Minimum Volatility,ISHARES EDGE MSCI EUROPE MIN VOL.,Europa,A1J783,IE00B86MWN23,270387
EUR Ultrashort Bond,ISH EUR ULTRA SHRT BOND,Europa,A1W375,IE00BCRY6557,154119
Edge MSCI Europe Momentum Factor,ISHARES MSCI EUROPE MOMENTUM,Europa,A12DPN,IE00BQN1K786,154146
EUR Govt Bond 20 yr Target Duration,ISHARES EURO GOV. BOND 20+YR TARGET DUR. UCITS ETF,Europa,A12HMZ,IE00BSKRJX20,880777
MSCI EMU USD Hedged (Acc),ISHARES MSCI EMU USD,Europa,A14SMA,IE00BWZN1T31,103926
MSCI Europe Quality Dividend,ISHSII-MSCI EU.QUA.DV.EOD,Europa,A2DRG4,IE00BYYHSM20,530446
EUR Corp Bond 0-3yr ESG,ISHARES SUST EUR CORP 0-3Y,Europa,A142NU,IE00BYZTVV78,316936
STOXX Europe Select Dividend 30,ISHARES DJ STOXX SEL. DIV.,Europa,263529,DE0002635299,43871
